bloomberg_ticker,name_ticker,isin,figi,share_class_figi,composite_figi
000060 KS,MERITZ FIRE IN,KR7000060004,BBG000BDT9R8,BBG001S6K3F8,BBG000BDT9R8
000070 KS,SAMYANG HOLDINGS,KR7000070003,BBG000BCZ9D8,BBG001S6CSC5,BBG000BCZ9D8
000080 KS,HITE JINRO,KR7000080002,BBG000BDN2M4,BBG001S6JKX2,BBG000BDN2M4
000100 KS,YUHAN CORPORATION,KR7000100008,BBG000BDQQP5,BBG001S6JYV4,BBG000BDQQP5
000120 KS,CJ KOREA EXPRESS,KR7000120006,BBG000BCYPM3,BBG001S6K288,BBG000BCYPM3
000150 KS,DOOSAN,KR7000150003,BBG000BCX192,BBG001S6JX91,BBG000BCX192
000210 KS,DL HOLDINGS CO LTD,KR7000210005,BBG000BDG9N6,BBG001S6HH98,BBG000BDG9N6
000240 KS,HANKOOK TIRE WORLDWIDE,KR7000240002,BBG000BCV5W9,BBG001S6JJS1,BBG000BCV5W9
000270 KS,KIA CORP,KR7000270009,BBG000BCL1T3,BBG001S6D3N7,BBG000BCL1T3
000370 KS,HANWHA GENERAL,KR7000370007,BBG000BH4ZY0,BBG001S72C93,BBG000BH4ZY0
000640 KS,DONGA SOCIO HOLDINGS,KR7000640003,BBG000BCRZ67,BBG001S6HMT5,BBG000BCRZ67
000660 KS,SK HYNIX INC,KR7000660001,BBG000GQVT51,BBG001S90F76,BBG000GQVT51
000670 KS,YOUNGPOONG,KR7000670000,BBG000BDTQ09,BBG001S6K3S4,BBG000BDTQ09
000700 KS,EUSU HOLDINGS,KR7000700005,BBG000BCV4S7,BBG001S6JJP4,BBG000BCV4S7
000720 KS,HYUNDAI ENGINEERING & CONSTRUCTION,KR7000720003,BBG000BCVC63,BBG001S6JK80,BBG000BCVC63
000800 KS,KYUNG NONG CORP,,BBG000BCYY08,BBG001S6CMJ1,BBG000BCYY08
000810 KS,SAMSUNG FIRE & MARINE INSURANCE,KR7000810002,BBG000BG7W76,BBG001S72C84,BBG000BG7W76
000830 KS,KYUNG NONG CORP,,BBG000BCYHH7,BBG001S6K1T7,BBG000BCYHH7
000880 KS,HANWHA,KR7000880005,BBG000BCX851,BBG001S6JXT9,BBG000BCX851
000990 KS,DB HITEK CO LTD,KR7000990002,BBG000BCV8Q0,BBG001S6JJY4,BBG000BCV8Q0
001040 KS,CJ CORP,KR7001040005,BBG000BCRJD5,BBG001S6HDZ8,BBG000BCRJD5
001060 KS,JW PHARMAC,KR7001060003,BBG000BDFLC2,BBG001S6HG54,BBG000BDFLC2
001120 KS,LX INTERNATIONAL CORP,KR7001120005,BBG000BDSF31,BBG001S6K1M4,BBG000BDSF31
001200 KS,EUGENE INV&SEC,KR7001200005,BBG000BDTDM4,BBG001S6K3J4,BBG000BDTDM4
001210 KS,KUMHO ELECTRIC,KR7001210004,BBG000BDRP58,BBG001S6K0F4,BBG000BDRP58
001230 KS,DONGKUK STEEL MILL CO LTD,KR7001230002,BBG000BCYYC5,BBG001S6K563,BBG000BCYYC5
001250 KS,GS GLOBAL,KR7001250000,BBG000BCYKK6,BBG001S6K1W3,BBG000BCYKK6
001260 KS,NAM KWANG CONS,KR7001260009,BBG000BDS0C4,BBG001S6K126,BBG000BDS0C4
001300 KS,KYUNG NONG CORP,,BBG000BDF3B3,BBG001S6HF10,BBG000BDF3B3
001430 KS,SEAH BESTEE,KR7001430008,BBG000BG9154,BBG001S72K31,BBG000BG9154
001440 KS,TAIHAN ELECTRIC WIRE CO LTD,KR7001440007,BBG000BCY440,BBG001S6K0C7,BBG000BCY440
001450 KS,HYUNDAI MAR&FI,KR7001450006,BBG000BH5192,BBG001S72CB0,BBG000BH5192
001540 KS,AHNGOOK PHARMACEUTICAL CO LTD,KR7001540004,BBG000BXPJZ7,BBG001SFGLL6,BBG000BXPJZ7
001630 KS,CHONGKUNDANG,KR7001630003,BBG000BDFGY9,BBG001S6HG18,BBG000BDFGY9
001680 KS,DAESANG CORP,KR7001680008,BBG000BD2GW5,BBG001S6DJR8,BBG000BD2GW5
001740 KS,SK NETWORKS CO LTD,KR7001740000,BBG000BC3D26,BBG001S6K1X2,BBG000BC3D26
001800 KS,ORION HOLDINGS CORP,KR7001800002,BBG000BDGL22,BBG001S6HM15,BBG000BDGL22
002020 KS,KOLON CORP,KR7002020006,BBG000BD0XJ5,BBG001S6D8B9,BBG000BD0XJ5
002270 KS,LOTTE FOOD,KR7002270007,BBG000BD1T58,BBG001S6DHC8,BBG000BD1T58
002310 KS,ASIA PAPER,KR7002310001,BBG000BGW2B9,BBG001S71PN9,BBG000BGW2B9
002320 KS,HANJIN TRANS,KR7002320000,BBG000BDP4B0,BBG001S6PWJ5,BBG000BDP4B0
002350 KS,NEXEN TIRE,KR7002350007,BBG000BDQH02,BBG001S6JYP1,BBG000BDQH02
002380 KS,KCC CORPORATION,KR7002380004,BBG000BCJPD0,BBG001S6CRD6,BBG000BCJPD0
002550 KS,KB INSURANCE CO LTD,,BBG000BDT6F7,BBG001S6K395,BBG000BDT6F7
002710 KS,TCC STEEL,KR7002710002,BBG000BDHBB3,BBG001S6HNJ4,BBG000BDHBB3
002790 KS,AMORE GROUP,KR7002790004,BBG000BDQ5M4,BBG001S6JY71,BBG000BDQ5M4
002990 KS,KUMHO IND,KR7002990000,BBG000BCXJ20,BBG001S6JYK6,BBG000BCXJ20
003000 KS,BUKWANG PHARM,KR7003000007,BBG000BGY4X9,BBG001S71T42,BBG000BGY4X9
003030 KS,SEAH STEEL CORP,KR7003030004,BBG000BCXP62,BBG001S6JZ87,BBG000BCXP62
003070 KS,KOLON GLOBALCO,KR7003070000,BBG000BCL319,BBG001S6D696,BBG000BCL319
003220 KS,DAEWON PHARM,KR7003220001,BBG000C19469,BBG001SD5GL4,BBG000C19469
003230 KS,SAM YANG FOODS,KR7003230000,BBG000BD3LC5,BBG001S6DX42,BBG000BD3LC5
003300 KS,HANIL CEMENT CO LTD,KR7003300001,BBG000BCV354,BBG001S6JJK9,BBG000BCV354
003410 KS,SSANGYONG CEMENT INDUSTRIAL CO LTD,KR7003410008,BBG000BCXJX6,BBG001S6JZ14,BBG000BCXJX6
003450 KS,KYUNG NONG CORP,,BBG000BDMJ84,BBG001S6JKF2,BBG000BDMJ84
003470 KS,YUANTA SEC KOR,KR7003470002,BBG000BH4NK2,BBG001S72BZ6,BBG000BH4NK2
003480 KS,HANJIN HEAVY IND & CONST HOLDINGS CO LTD,KR7003480001,BBG000BDPGR6,BBG001S6PX67,BBG000BDPGR6
003490 KS,KOREAN AIR LINES CO,KR7003490000,BBG000BDSVK7,BBG001S6K2B4,BBG000BDSVK7
003540 KS,DAISHIN SEC,KR7003540002,BBG000BDGSS9,BBG001S6HMH8,BBG000BDGSS9
003550 KS,LG CORP,KR7003550001,BBG000BCXCN2,BBG001S6JY35,BBG000BCXCN2
003560 KS,IHQ INC,KR7003560000,BBG000BD1JT4,BBG001S6DDL7,BBG000BD1JT4
003570 KS,SNT DYNAMICS CO LTD,KR7003570009,BBG000BCY7C4,BBG001S6K0H2,BBG000BCY7C4
003600 KS,KYUNG NONG CORP,,BBG000BDQVN6,BBG001S6JYY1,BBG000BDQVN6
003620 KS,KG MOBILITY CORP,KR7003620002,BBG000BCY5F5,BBG001S6K0G3,BBG000BCY5F5
003670 KS,POSCO CHEMICAL CO LTD,KR7003670007,BBG000F5NW32,BBG001SGPYL6,BBG000F5NW32
003690 KS,KOREAN REINSU,KR7003690005,BBG000BDT051,BBG001S6K2T5,BBG000BDT051
003720 KS,SAM YOUNG CHEM,KR7003720000,BBG000BDQ991,BBG001S6JYC5,BBG000BDQ991
003850 KS,BORYUNG PHARM,KR7003850005,BBG000BGY6X4,BBG001S71T60,BBG000BGY6X4
004000 KS,LOTTE FINE CHEMICAL CO LTD,KR7004000006,BBG000BDPYL3,BBG001S6JXW5,BBG000BDPYL3
004020 KS,HYUNDAI STEEL,KR7004020004,BBG000BCVFZ4,BBG001S6JKM4,BBG000BCVFZ4
004130 KS,DAEDUCK GDS CO LTD,,BBG000BDG402,BBG001S5SW95,BBG000BDG402
004150 KS,HANSOL HOLDINGS CO LTD,KR7004150009,BBG000BCRMC9,BBG001S6HG27,BBG000BCRMC9
004170 KS,SHINSEGAE,KR7004170007,BBG000BDSQJ0,BBG001S6K233,BBG000BDSQJ0
004200 KS,KOREA DEVELOPMENT CORPORATION,,BBG000BDRW35,BBG001S6K0S0,BBG000BDRW35
004370 KS,NONGSHIM,KR7004370003,BBG000BD2J59,BBG001S6DJY0,BBG000BD2J59
004430 KS,SONGWON INDUSTRIAL,KR7004430005,BBG000BDQFP9,BBG001S6JYG1,BBG000BDQFP9
004490 KS,SEBANG GLOBAL BATTERY CO LTD,KR7004490009,BBG000BDMDM1,BBG001S6JK99,BBG000BDMDM1
004550 KS,,,BBG000BP1W36,BBG001S8YXY2,BBG000BP1W36
004690 KS,SAMCHULLY,KR7004690004,BBG000BNN224,BBG001S8NJ48,BBG000BNN224
004710 KS,HANSOL TECHNICS,KR7004710000,BBG000BFXH72,BBG001S6TCZ7,BBG000BFXH72
004790 KS,,,BBG000C19G99,BBG001SD5GW2,BBG000C19G99
004800 KS,HYOSUNG CORP,KR7004800009,BBG000BCL462,BBG001S6D801,BBG000BCL462
004940 KS,,,BBG000BK9119,BBG001S7XKZ2,BBG000BK9119
004960 KS,HANSHIN CONST,KR7004960001,BBG000BCV032,BBG001S6JJF5,BBG000BCV032
004980 KS,SUNGSHIN CEMEN,KR7004980009,BBG000BDQXK5,BBG001S6JZ23,BBG000BDQXK5
004990 KS,LOTTE CORP,KR7004990008,BBG000BD1NP9,BBG001S6DG67,BBG000BD1NP9
005160 KS,DONGKUK INDUSTRIES CO,KR7005160007,BBG000DCCRP8,BBG001SD7KV2,BBG000DCCRP8
005180 KS,BINGGRAE,KR7005180005,BBG000BDDWL0,BBG001S6HDR7,BBG000BDDWL0
005300 KS,LOTTE CHILSUNG BEVERAGE,KR7005300009,BBG000BDPR29,BBG001S6JX73,BBG000BDPR29
005380 KS,HYUNDAI MOTOR,KR7005380001,BBG000BCVDK5,BBG001S6JKB6,BBG000BCVDK5
005440 KS,HYUNDAI GREEN FOOD CO LTD,KR7005440003,BBG000BG7QY9,BBG001S72B31,BBG000BG7QY9
005490 KS,POSCO HOLDINGS,KR7005490008,BBG000BDVH79,BBG001S6K581,BBG000BDVH79
005500 KS,SAMJIN PHARM,KR7005500004,BBG000BDVDW0,BBG001S6K554,BBG000BDVDW0
005610 KS,SPC SAMLIP CO LTD,KR7005610001,BBG000BD36X5,BBG001S6DRF3,BBG000BD36X5
005740 KS,CROWN CONFEC,KR7005740006,BBG000BDG1S8,BBG001S6HH07,BBG000BDG1S8
005830 KS,DB INSURANCE CO LTD,KR7005830005,BBG000BD1BC9,BBG001S6DC57,BBG000BD1BC9
005850 KS,SL CORP,KR7005850003,BBG000BFXXB2,BBG001S6TGY9,BBG000BFXXB2
005880 KS,KOREA LINE,KR7005880000,BBG000BHQ0L7,BBG001S75LJ9,BBG000BHQ0L7
005930 KS,SAMSUNG ELECTRONICS CO LTD,KR7005930003,BBG000BCY2S8,BBG001S6K037,BBG000BCY2S8
005940 KS,NH INVESTMENT & SECURITIES CO LTD,KR7005940002,BBG000BC3GF5,BBG001S6K368,BBG000BC3GF5
005950 KS,ISU CHEMICAL CO LTD,KR7005950001,BBG000BGX031,BBG001S71RK8,BBG000BGX031
005960 KS,DONGBU,KR7005960000,BBG000BH38R9,BBG001S727T2,BBG000BH38R9
005990 KS,MAEIL HOLDINGS CO LTD,KR7267980001,BBG000DCCT01,BBG001SD7KX0,BBG000DCCT01
006040 KS,DONGWON IND,KR7006040000,BBG000BDQ802,BBG001S6JYB6,BBG000BDQ802
006060 KS,HWASEUNG INDUSTRIES CO LTD,KR7006060008,BBG000BDD3R8,BBG001S5X8M7,BBG000BDD3R8
006120 KS,SK DISCOVERY CO LTD,KR7006120000,BBG000BCX2Z1,BBG001S6JXL7,BBG000BCX2Z1
006260 KS,LS CORP,KR7006260004,BBG000BCS660,BBG001S6HP18,BBG000BCS660
006280 KS,GREEN CROSS CORP,KR7006280002,BBG000BGY8Z8,BBG001S71T88,BBG000BGY8Z8
006360 KS,GS ENGINEERING & CONSTRUCTION,KR7006360002,BBG000BCYFN4,BBG001S6K108,BBG000BCYFN4
006370 KS,DAEGU DEPT STO,KR7006370001,BBG000BH46P4,BBG001S729Z1,BBG000BH46P4
006380 KS,CAPRO CORPORATION,KR7006380000,BBG000BDC656,BBG001S6H6S1,BBG000BDC656
006400 KS,SAMSUNG SDI,KR7006400006,BBG000BCY0Q4,BBG001S6K028,BBG000BCY0Q4
006650 KS,KOREA PETRO CHEMICAL IND,KR7006650006,BBG000D98809,BBG001SD4K45,BBG000D98809
006730 KS,SEOBU T&D,KR7006730006,BBG000DBBP75,BBG001SD5HN0,BBG000DBBP75
006800 KS,MIRAE ASSET DAEWOO SECURITIES CO LTD,KR7006800007,BBG000BCRXT7,BBG001S6HMB4,BBG000BCRXT7
006840 KS,AK HOLDINGS,KR7006840003,BBG000D99L81,BBG001SD4KH1,BBG000D99L81
007070 KS,GS RETAIL,KR7007070006,BBG000C8WFC6,BBG001SC3XR5,BBG000C8WFC6
007310 KS,OTTOGI,KR7007310006,BBG000FT5D05,BBG001S8MZL4,BBG000FT5D05
007570 KS,ILYANG PHARM,KR7007570005,BBG000BDMMQ7,BBG001S6JKJ8,BBG000BDMMQ7
007660 KS,ISUPETASYS,KR7007660004,BBG000C337H2,BBG001SFW1R6,BBG000C337H2
007690 KS,KUKDO CHEMICAL,KR7007690001,BBG000BGX5D9,BBG001S71RT9,BBG000BGX5D9
007700 KS,F&F HOLDINGS CO LTD,KR7007700008,BBG000BDBWZ7,BBG001S6H5X7,BBG000BDBWZ7
007810 KS,KOREA CIRCUIT CO LTD,KR7007810005,BBG000BDRCT1,BBG001S6JZP8,BBG000BDRCT1
008000 KS,TORAY CHEMICAL KOREA INC,,BBG000BDF1C6,BBG001S6HF01,BBG000BDF1C6
008060 KS,DAEDUCK CO LTD,KR7008060006,BBG000BH2WL3,BBG001S72785,BBG000BH2WL3
008490 KS,SUHEUNG CAPSUL,KR7008490005,BBG000BDGFG0,BBG001S6HHC4,BBG000BDGFG0
008560 KS,MERITZ SEC,KR7008560005,BBG000BG23L9,BBG001S6W5M2,BBG000BG23L9
008670 KS,,,BBG000BDTPT0,BBG001S6K3R5,BBG000BDTPT0
008770 KS,HOTEL SHILLA,KR7008770000,BBG000BHPZF8,BBG001S75LG2,BBG000BHPZF8
008930 KS,HANMI SCIENCE,KR7008930000,BBG000BDVBT8,BBG001S6K527,BBG000BDVBT8
009150 KS,SAMSUNG ELECTROMECHANICS,KR7009150004,BBG000BCXYZ1,BBG001S6K019,BBG000BCXYZ1
009240 KS,HANSSEM,KR7009240003,BBG000GLR728,BBG001SKCMQ2,BBG000GLR728
009410 KS,TAEYOUNG CONST,KR7009410002,BBG000BDV316,BBG001S6RS48,BBG000BDV316
009420 KS,HANALL BIOPHARMA,KR7009420001,BBG000BG0126,BBG001S6TTX2,BBG000BG0126
009440 KS,KC GREEN HOLDI,KR7009440009,BBG000DXVB67,BBG001S8F3T5,BBG000DXVB67
009450 KS,KYUNG DONG NAVIEN CO LTD,KR7009450008,BBG000CHR4T9,BBG001S81HS0,BBG000CHR4T9
009540 KS,KOREA SHIPBUILDING & OFFSHORE ENGINEERING CO LTD,KR7009540006,BBG000DBLYN7,BBG001SD6421,BBG000DBLYN7
009580 KS,MOORIM P&P CO LTD,KR7009580002,BBG000BGW4P0,BBG001S71PP7,BBG000BGW4P0
009720 KS,,,BBG000F4PB75,BBG001S8GYG0,BBG000F4PB75
009830 KS,HANWHA SOLUTIONS,KR7009830001,BBG000BCVB56,BBG001S6JK17,BBG000BCVB56
009900 KS,MYOUNG SHIN INDUSTRIAL CO LTD,KR7009900002,BBG0035VPH04,BBG0035VPH31,BBG0035VPH04
009970 KS,YOUNGONE HOLDI,KR7009970005,BBG000BH3NH7,BBG001S728T0,BBG000BH3NH7
010060 KS,OCI CO LTD,KR7010060002,BBG000BGHVK2,BBG001S75FB0,BBG000BGHVK2
010120 KS,LS ELECTRIC,KR7010120004,BBG000GPVN92,BBG001S8ZTR8,BBG000GPVN92
010130 KS,KOREA ZINC INC,KR7010130003,BBG000BGZQ96,BBG001S71YR6,BBG000BGZQ96
010140 KS,SAMSUNG HEAVY INDUSTRIES,KR7010140002,BBG000BGJN73,BBG001S7P4M1,BBG000BGJN73
010520 KS,KYUNG NONG CORP,,BBG000BF1T53,BBG001S6TJ91,BBG000BF1T53
010620 KS,HYUNDAI MIPO DOCKYARD,KR7010620003,BBG000BCXSW7,BBG001S6JZT4,BBG000BCXSW7
010690 KS,HWASHIN,KR7010690006,BBG000BFWRQ0,BBG001S7M783,BBG000BFWRQ0
010780 KS,IS DONGSEO,KR7010780005,BBG000BDH5B6,BBG001S6HN95,BBG000BDH5B6
010950 KS,SOIL CORP,KR7010950004,BBG000BCYWX6,BBG001S6K4Z4,BBG000BCYWX6
011070 KS,LG INNOTEK CO LTD,KR7011070000,BBG000BNKC43,BBG001SQ83W9,BBG000BNKC43
011160 KS,DOOSAN ENGINEERING & CONSTRUCTION CO LTD,KR7011160009,BBG000BT9F46,BBG001S71L21,BBG000BT9F46
011170 KS,LOTTE CHEMICAL CORP,KR7011170008,BBG000BHNW30,BBG001S75FN7,BBG000BHNW30
011200 KS,HMM CO LTD,KR7011200003,BBG000FQW6G9,BBG001S8MFV7,BBG000FQW6G9
011210 KS,HYUNDAI WIA,KR7011210002,BBG000JNGHC0,BBG001SRNZC1,BBG000JNGHC0
011370 KS,SEOHAN,KR7011370004,BBG000DBCXK2,BBG001SD5K71,BBG000DBCXK2
011760 KS,HYUNDAI CORP,KR7011760006,BBG000BDMC98,BBG001S6JK71,BBG000BDMC98
011780 KS,KUMHO PETRO CHEMICAL,KR7011780004,BBG000BG60N9,BBG001S71PZ6,BBG000BG60N9
011790 KS,SKC CO LTD,KR7011790003,BBG000BJQ603,BBG001S8ND96,BBG000BJQ603
012330 KS,HYUNDAI MOBIS,KR7012330007,BBG000BK3C57,BBG001S7CQQ2,BBG000BK3C57
012450 KS,HANWHA AEROSPACE CO LTD,KR7012450003,BBG000BLLVM4,BBG001S8ZTM3,BBG000BLLVM4
012510 KS,DOUZONE BIZON CO LTD,KR7012510004,BBG000BHP4B1,BBG001S75GG3,BBG000BHP4B1
012630 KS,HDC HOLDINGS CO LTD,KR7012630000,BBG000BY2BM1,BBG001S7DPL8,BBG000BY2BM1
012750 KS,S1 CORP,KR7012750006,BBG000FPGP86,BBG001S8M2J0,BBG000FPGP86
012990 KS,,,BBG000G0SXZ0,BBG001SJ9B83,BBG000G0SXZ0
013570 KS,DY CORPORATION,KR7013570007,BBG000BNMTN3,BBG001S8NGG1,BBG000BNMTN3
013580 KS,KYERYONG CONST,KR7013580006,BBG000FQ3Z40,BBG001S8M718,BBG000FQ3Z40
013890 KS,ZINUS INC,KR7013890009,BBG000BH3QZ0,BBG001S728X5,BBG000BH3QZ0
014620 KS,SUNG KWANG BEND CO LTD,,BBG000F8XVL7,BBG001SGRD49,BBG000F8XVL7
014680 KS,HANSOL CHEMICA,KR7014680003,BBG000BGW8M4,BBG001S71Q48,BBG000BGW8M4
014790 KS,HALLA ENG&CONS,KR7014790000,BBG000FQFTR6,BBG001S8MCD4,BBG000FQFTR6
014830 KS,UNID COMPANY LTD,KR7014830004,BBG000GCFGF7,BBG001SJXR63,BBG000GCFGF7
014900 KS,,,BBG000BGJBQ8,BBG001S75GV6,BBG000BGJBQ8
015750 KS,SUNGWOO HITECH CO LTD,KR7015750003,BBG000D058P4,BBG001SCR634,BBG000D058P4
015760 KS,KOREA ELECTRIC POWER CORP,KR7015760002,BBG000BFZLV4,BBG001S6TR84,BBG000BFZLV4
015860 KS,ILJIN HOLDINGS,KR7015860000,BBG000BH07K1,BBG001S71ZR3,BBG000BH07K1
015940 KS,,,BBG000BK3MP3,BBG001S7CR44,BBG000BK3MP3
016170 KS,KAKAO M CORP,KR7016170003,BBG000F8XLS2,BBG001SGRCR6,BBG000F8XLS2
016360 KS,SAMSUNG SECURITIES,KR7016360000,BBG000BFWM63,BBG001S6T519,BBG000BFWM63
016380 KS,DONGBU STEEL CO LTD,KR7016380008,BBG000BCS1J7,BBG001S5P0X1,BBG000BCS1J7
016420 KS,KYUNG NONG CORP,,BBG000BFX8N4,BBG001S6T886,BBG000BFX8N4
016830 KS,,,BBG000BH4F83,BBG001S72BB2,BBG000BH4F83
016880 KS,WOONGJIN CO LTD,KR7016880007,BBG000FQ1076,BBG001S8M594,BBG000FQ1076
016990 KS,,,BBG000DRMMX6,BBG001SF2PZ7,BBG000DRMMX6
017670 KS,SK TELECOM CO LTD,KR7017670001,BBG000BG79W9,BBG001S72810,BBG000BG79W9
017800 KS,HYUNDAI ELEVATOR,KR7017800004,BBG000FW37W8,BBG001S8NJ57,BBG000FW37W8
017810 KS,PULMUONE HOLDI,KR7017810003,BBG000FT6K26,BBG001S8MZP0,BBG000FT6K26
017960 KS,HANKUK CARBON,KR7017960006,BBG000FVGVH0,BBG001S8NCN2,BBG000FVGVH0
018250 KS,AEKYUNG INDUSTRIAL CO LTD,KR7018250001,BBG001BP71J9,BBG001TRG5H9,BBG001BP71J9
018260 KS,SAMSUNG SDS CO LTD,KR7018260000,BBG0077VG4T1,BBG001SFSGY0,BBG0077VG4T1
018290 KS,VT GMP CO LTD,KR7018290007,BBG000C40JB3,BBG001SD64S3,BBG000C40JB3
018670 KS,SK GAS,KR7018670000,BBG000BVS5Y9,BBG001S9Z9N4,BBG000BVS5Y9
018880 KS,HANON SYSTEMS,KR7018880005,BBG000H5XPZ9,BBG001S95Z68,BBG000H5XPZ9
019210 KS,YG1 CO LTD,KR7019210004,BBG000C1L0K7,BBG001SD5YG1,BBG000C1L0K7
019680 KS,DAEKYO,KR7019680008,BBG000G9LK31,BBG001SH5P71,BBG000G9LK31
020000 KS,HANDSOME,KR7020000006,BBG000H0FKS9,BBG001S93049,BBG000H0FKS9
020150 KS,LOTTE ENERGY MATERIALS CORPORATION,KR7020150009,BBG001F4F470,BBG001V08067,BBG001F4F470
020560 KS,ASIANA AIRLINE,KR7020560009,BBG000DL1541,BBG001SDMYJ9,BBG000DL1541
020760 KS,ILJIN DISPLAY,KR7020760005,BBG000GD7SN9,BBG001SK0VH5,BBG000GD7SN9
021240 KS,COWAY CO LTD,KR7021240007,BBG000DBD5Z6,BBG001S9FTW2,BBG000DBD5Z6
022100 KS,POSCO ICT CO LTD,,BBG000FH5T60,BBG001SGJ536,BBG000FH5T60
023160 KS,T K CORP,KR7023160005,BBG000C1LYF9,BBG001SD5ZH7,BBG000C1LYF9
023530 KS,LOTTE SHOPPING,KR7023530009,BBG000BXDW54,BBG001SBGDZ8,BBG000BXDW54
023590 KS,DAOU TECH,KR7023590003,BBG000BVS953,BBG001S9Z9R0,BBG000BVS953
024110 KS,INDUSTRIAL BANK OF KOREA,KR7024110009,BBG000C40K84,BBG001SD64X7,BBG000C40K84
024720 KS,KOLMAR HOLDING,KR7024720005,BBG000C1DYW9,BBG001S91CW4,BBG000C1DYW9
024950 KS,SAMCHULY BICYCLE CO LTD,KR7024950008,BBG000C1MMZ2,BBG001SD60C8,BBG000C1MMZ2
025540 KS,KOREA ELECTRIC TERMINAL,KR7025540006,BBG000DSMCB0,BBG001S8CQT7,BBG000DSMCB0
025860 KS,NAMHAE CHEMICAL,KR7025860008,BBG000CJPL73,BBG001S81SZ8,BBG000CJPL73
025900 KS,DONGWHA ENTERPRISE CO LTD,KR7025900002,BBG000DBN3J8,BBG001SD6500,BBG000DBN3J8
025930 KS,,,BBG000BXFTB2,BBG001SB3856,BBG000BXFTB2
027410 KS,BGF RETAIL CO LTD,KR7027410000,BBG006DB9VY2,BBG006DB9W25,BBG006DB9VY2
028050 KS,SAMSUNG ENGINEERING,KR7028050003,BBG000HTQXQ8,BBG001S9DWT1,BBG000HTQXQ8
028080 KS,HUMAX HOLDINGS CO LTD,,BBG000C1NJD2,BBG001SD6181,BBG000C1NJD2
028150 KS,GS HOME SHOPPING INC,KR7028150001,BBG000BQ92V1,BBG001S9G8Y5,BBG000BQ92V1
028260 KS,SAMSUNG C&T CORP,KR7028260008,BBG000D5PS68,BBG001SD2CM5,BBG000D5PS68
028670 KS,PAN OCEAN CO LTD,KR7028670008,BBG000SJTY38,BBG001SP3ZC7,BBG000SJTY38
029460 KS,KC CO LTD,KR7029460003,BBG000BJRFV8,BBG001S7YL43,BBG000BJRFV8
029530 KS,SINDOH,KR7029530003,BBG000HTNB07,BBG001S9DW84,BBG000HTNB07
029780 KS,SAMSUNG CARD CO LTD,KR7029780004,BBG000CY7F46,BBG001SFSGT6,BBG000CY7F46
030000 KS,CHEIL WORLDWIDE,KR7030000004,BBG000C1LH66,BBG001SBRJS1,BBG000C1LH66
030190 KS,NICE INFORMATION SERVICE CO LTD,,BBG000BVMN49,BBG001SF9NL0,BBG000BVMN49
030200 KS,KT CORPORATION,KR7030200000,BBG000BMQ2T4,BBG001S6P5Q6,BBG000BMQ2T4
030210 KS,DAOL INVESTMENT & SECURITIES,KR7030210009,BBG000HQJSK9,BBG001S9C0X7,BBG000HQJSK9
030520 KS,HAANSOFT,KR7030520001,BBG000BF9D05,BBG001S71MS1,BBG000BF9D05
030530 KS,WONIK HOLDINGS CO LTD,KR7030530000,BBG000C1NTK2,BBG001SD61G2,BBG000C1NTK2
031430 KS,SHINSEGAE INTE,KR7031430002,BBG000QSB391,BBG001T8K4Z9,BBG000QSB391
031440 KS,SHINSEGAE FOOD,KR7031440001,BBG000DQSFC0,BBG001S6P345,BBG000DQSFC0
031980 KS,PSK HOLDINGS INC,KR7319660007,BBG000C1P586,BBG001SD61X3,BBG000C1P586
032350 KS,LOTTE TOUR DEV,KR7032350001,BBG000P21L90,BBG001SQVLQ0,BBG000P21L90
032390 KS,,,BBG000DK48G1,BBG001SDKS04,BBG000DK48G1
032500 KS,KMW INC,,BBG000CG6WX7,BBG001SF20K8,BBG000CG6WX7
032640 KS,LG UPLUS,KR7032640005,BBG000F8XL84,BBG001SG1X52,BBG000F8XL84
032710 KS,,,BBG000CCLKK9,BBG001S9G5L5,BBG000CCLKK9
032830 KS,SAMSUNG LIFE,KR7032830002,BBG000FGB8Z9,BBG001SLQNX5,BBG000FGB8Z9
033240 KS,JAHWA ELECTRON,KR7033240003,BBG000BMVP62,BBG001SBYPS9,BBG000BMVP62
033270 KS,UNITED PHARM,KR7033270000,BBG000C3TCG4,BBG001S9YSX2,BBG000C3TCG4
033290 KS,COWELL FASHION COLTD,KR7033290008,BBG000C1QF92,BBG001SD63H7,BBG000C1QF92
033500 KS,DONGSUNG FINETEC CO LTD,KR7033500000,BBG000C1QN59,BBG001SD63P8,BBG000C1QN59
033530 KS,SEJONG INDUSTRIAL,KR7033530007,BBG000C1QPB7,BBG001SD63Q7,BBG000C1QPB7
033630 KS,,,BBG000D0WCW7,BBG001S9DSP4,BBG000D0WCW7
033640 KS,NEPES CORPORATION,KR7033640004,BBG000C4R481,BBG001SDLLJ8,BBG000C4R481
033780 KS,KT&G CORP,KR7033780008,BBG000C2X255,BBG001SDC4D2,BBG000C2X255
033920 KS,MUHAK CO LTD,KR7033920000,BBG000C1QT01,BBG001SD63S5,BBG000C1QT01
034020 KS,DOOSAN HEAVY IND & CONST,KR7034020008,BBG000C4SV53,BBG001SBZ762,BBG000C4SV53
034220 KS,LG DISPLAY,KR7034220004,BBG000F5DG01,BBG001SDCYD6,BBG000F5DG01
034230 KS,PARADISE CO,KR7034230003,BBG000BLBPN7,BBG001S9Y3G6,BBG000BLBPN7
